Datetime,open,high,low,close,volume
2025-12-10 00:00:00+00:00,2.108492851257324,2.108875036239624,2.107853889465332,2.10803484916687,2108416
2025-12-10 00:15:00+00:00,2.107771158218384,2.107771158218384,2.0994062423706055,2.0994062423706055,11041536
2025-12-10 00:30:00+00:00,2.099976062774658,2.1019344329833984,2.0979726314544678,2.0979726314544678,5891328
2025-12-10 00:45:00+00:00,2.097979784011841,2.097979784011841,2.0931148529052734,2.0931148529052734,13612288
2025-12-10 01:00:00+00:00,2.092663526535034,2.0932681560516357,2.0913174152374268,2.0920557975769043,1082112
2025-12-10 01:15:00+00:00,2.092148780822754,2.0937814712524414,2.0914559364318848,2.0928404331207275,7483904
2025-12-10 01:30:00+00:00,2.0929012298583984,2.092939615249634,2.088723659515381,2.0888454914093018,1200128
2025-12-10 01:45:00+00:00,2.0889689922332764,2.091256618499756,2.0889503955841064,2.0909583568573,929280
2025-12-10 02:00:00+00:00,2.0893869400024414,2.0894105434417725,2.085848331451416,2.086968183517456,113664
2025-12-10 02:15:00+00:00,2.0869383811950684,2.09088397026062,2.0867230892181396,2.09088397026062,7547392
2025-12-10 02:30:00+00:00,2.091140031814575,2.09177827835083,2.089160442352295,2.089160442352295,6530816
2025-12-10 02:45:00+00:00,2.089442491531372,2.089442491531372,2.086658239364624,2.086658239364624,4097536
2025-12-10 03:00:00+00:00,2.0875983238220215,2.0875983238220215,2.0859756469726562,2.0868172645568848,2463744
2025-12-10 03:15:00+00:00,2.086801052093506,2.086801052093506,2.0843923091888428,2.084411382675171,1646848
2025-12-10 03:30:00+00:00,2.084360122680664,2.084360122680664,2.083310127258301,2.084351062774658,3240448
2025-12-10 03:45:00+00:00,2.084397792816162,2.0848100185394287,2.084397792816162,2.084437608718872,8869632
2025-12-10 04:00:00+00:00,2.083432912826538,2.0860331058502197,2.0825605392456055,2.0860331058502197,13125376
2025-12-10 04:15:00+00:00,2.086137294769287,2.0898354053497314,2.086137294769287,2.0872297286987305,14396672
2025-12-10 04:30:00+00:00,2.0872464179992676,2.09210467338562,2.087207078933716,2.0920615196228027,548864
2025-12-10 04:45:00+00:00,2.092188596725464,2.0939767360687256,2.092188596725464,2.0922200679779053,4550656
2025-12-10 05:00:00+00:00,2.0920910835266113,2.0920910835266113,2.0893359184265137,2.0893359184265137,2475776
2025-12-10 05:15:00+00:00,2.089653491973877,2.091656446456909,2.0894808769226074,2.0894808769226074,5631488
2025-12-10 05:30:00+00:00,2.0886926651000977,2.0886926651000977,2.085952043533325,2.086430788040161,2425600
2025-12-10 05:45:00+00:00,2.0864145755767822,2.0879147052764893,2.0864145755767822,2.0879147052764893,1772288
2025-12-10 06:00:00+00:00,2.088569164276123,2.088569164276123,2.086113691329956,2.087778091430664,7592192
2025-12-10 06:15:00+00:00,2.087796449661255,2.0881094932556152,2.0870885848999023,2.088087320327759,3974912
2025-12-10 06:30:00+00:00,2.088103771209717,2.0891499519348145,2.0871739387512207,2.0871739387512207,600832
