Datetime,Open,High,Low,Close,Volume
2022-01-01 00:00:00,46211.24,46500.0,46205.0,46316.17,317.40254695
2022-01-01 00:15:00,46315.46,46394.44,46211.35,46359.09,188.23662989
2022-01-01 00:30:00,46359.1,46664.91,46334.08,46603.64,151.37578006
2022-01-01 00:45:00,46603.71,46744.99,46566.17,46656.85,165.30135334
2022-01-01 01:00:00,46656.85,46762.51,46573.65,46760.66,133.18374049
2022-01-01 01:15:00,46762.51,46931.0,46736.81,46800.0,231.69179694
2022-01-01 01:30:00,46800.0,46881.59,46739.79,46761.78,146.75434259
2022-01-01 01:45:00,46761.78,46895.14,46719.81,46780.85,174.44397397
2022-01-01 02:00:00,46778.0,46865.0,46769.32,46848.97,100.45776486
2022-01-01 02:15:00,46850.0,46929.2,46827.17,46829.2,142.07434007
2022-01-01 02:30:00,46828.2,46831.5,46728.5,46775.68,105.49938136
2022-01-01 02:45:00,46776.75,46855.13,46757.7,46808.55,85.34230475
2022-01-01 03:00:00,46808.55,46848.73,46757.45,46820.26,65.32481701
2022-01-01 03:15:00,46819.21,46895.06,46779.56,46804.96,104.63821134
2022-01-01 03:30:00,46804.95,46893.72,46798.93,46869.98,114.66596783
2022-01-01 03:45:00,46869.97,46892.45,46804.0,46804.01,69.61551604
2022-01-01 04:00:00,46804.0,46872.86,46629.12,46647.73,138.53237782
2022-01-01 04:15:00,46646.87,46716.75,46621.59,46700.54,142.10592906
2022-01-01 04:30:00,46701.12,46749.0,46634.39,46728.57,111.17049098
2022-01-01 04:45:00,46728.57,46833.99,46692.31,46701.29,103.61796655
2022-01-01 05:00:00,46696.45,46765.92,46668.64,46765.91,97.84913823
2022-01-01 05:15:00,46765.9,47478.85,46757.5,47383.45,295.81392091
2022-01-01 05:30:00,47381.97,47548.53,47242.48,47295.68,155.7346003
2022-01-01 05:45:00,47294.35,47308.51,47134.9,47188.0,93.24074215
2022-01-01 06:00:00,47188.0,47327.89,47096.4,47305.4,142.71658712
2022-01-01 06:15:00,47304.47,47304.47,47119.68,47129.3,72.53080264
2022-01-01 06:30:00,47131.93,47198.54,47109.73,47160.0,60.32524853
2022-01-01 06:45:00,47162.41,47229.18,46944.81,46976.98,104.98784133
2022-01-01 07:00:00,46982.82,47053.55,46903.5,46990.18,74.4774572
2022-01-01 07:15:00,46990.18,47050.4,46942.97,46958.15,79.58350045
2022-01-01 07:30:00,46960.94,47114.18,46944.45,47093.66,48.67676853
2022-01-01 07:45:00,47097.76,47251.76,47070.0,47200.01,96.16355638
2022-01-01 08:00:00,47200.14,47230.71,47087.67,47156.33,42.60956884
2022-01-01 08:15:00,47156.33,47347.54,47151.38,47313.76,62.57679059
