Datetime,open,high,low,close,volume
2025-11-12 14:30:00+00:00,275.07501220703125,275.239990234375,272.04998779296875,272.29779052734375,7079670
2025-11-12 14:45:00+00:00,272.30999755859375,272.75,271.8699951171875,272.1600036621094,1470796
2025-11-12 15:00:00+00:00,272.1600036621094,273.4100036621094,272.0,272.8999938964844,1067752
2025-11-12 15:15:00+00:00,272.90679931640625,273.44989013671875,272.6600036621094,272.94000244140625,1100207
2025-11-12 15:30:00+00:00,272.9100036621094,274.39898681640625,272.54998779296875,273.8949890136719,1168312
2025-11-12 15:45:00+00:00,273.8900146484375,274.239990234375,273.57000732421875,274.13250732421875,838347
2025-11-12 16:00:00+00:00,274.1099853515625,274.32000732421875,273.80999755859375,274.2099914550781,716885
2025-11-12 16:15:00+00:00,274.2099914550781,274.6099853515625,274.0199890136719,274.6000061035156,604621
2025-11-12 16:30:00+00:00,274.5899963378906,274.8500061035156,274.2099914550781,274.7699890136719,882321
2025-11-12 16:45:00+00:00,274.7749938964844,274.8500061035156,273.8699951171875,274.17010498046875,527043
2025-11-12 17:00:00+00:00,274.20001220703125,274.2598876953125,273.7250061035156,273.94000244140625,353310
2025-11-12 17:15:00+00:00,273.95001220703125,274.45989990234375,273.8500061035156,274.3900146484375,341667
2025-11-12 17:30:00+00:00,274.3800048828125,274.79998779296875,274.3599853515625,274.44000244140625,348686
2025-11-12 17:45:00+00:00,274.4200134277344,274.6199951171875,274.1199951171875,274.55999755859375,337636
2025-11-12 18:00:00+00:00,274.5799865722656,275.1400146484375,274.5,275.04998779296875,580910
2025-11-12 18:15:00+00:00,275.04998779296875,275.1199951171875,274.75,274.9800109863281,374895
2025-11-12 18:30:00+00:00,274.989990234375,275.3500061035156,274.7391052246094,275.2099914550781,488100
2025-11-12 18:45:00+00:00,275.20001220703125,275.4599914550781,274.95361328125,275.4100036621094,430554
2025-11-12 19:00:00+00:00,275.44000244140625,275.7300109863281,274.9599914550781,274.9599914550781,675200
2025-11-12 19:15:00+00:00,274.9700012207031,275.1044921875,274.42999267578125,274.45001220703125,419713
2025-11-12 19:30:00+00:00,274.45001220703125,274.4903869628906,274.1400146484375,274.360107421875,461288
2025-11-12 19:45:00+00:00,274.3500061035156,274.69000244140625,274.1400146484375,274.3399963378906,488163
2025-11-12 20:00:00+00:00,274.3349914550781,274.4110107421875,273.53009033203125,273.6000061035156,640013
2025-11-12 20:15:00+00:00,273.5899963378906,274.1000061035156,273.5,274.04998779296875,470036
2025-11-12 20:30:00+00:00,274.04998779296875,274.25,273.614990234375,273.94000244140625,747234
2025-11-12 20:45:00+00:00,273.94000244140625,274.3999938964844,272.9700012207031,273.3999938964844,2822288
2025-11-13 14:30:00+00:00,274.2699890136719,276.6990051269531,273.5899963378906,276.3299865722656,6630828
2025-11-13 14:45:00+00:00,276.3299865722656,276.3399963378906,274.30010986328125,275.1470031738281,1362927
2025-11-13 15:00:00+00:00,275.1300048828125,275.1600036621094,274.0299987792969,274.1300048828125,980171
2025-11-13 15:15:00+00:00,274.1300048828125,274.5270080566406,273.2900085449219,273.7099914550781,1040794
2025-11-13 15:30:00+00:00,273.7001037597656,273.7250061035156,272.42999267578125,272.57501220703125,1042829
