Datetime,open,high,low,close,volume
2025-12-11 00:00:00+00:00,136.44839477539062,136.44839477539062,136.2355499267578,136.28057861328125,0
2025-12-11 00:15:00+00:00,136.26817321777344,136.28680419921875,136.01156616210938,136.10874938964844,9898496
2025-12-11 00:30:00+00:00,136.04942321777344,136.04942321777344,134.3992462158203,134.3992462158203,56313856
2025-12-11 00:45:00+00:00,134.379150390625,134.379150390625,133.688232421875,133.9132843017578,68210688
2025-12-11 01:00:00+00:00,133.8833465576172,133.92543029785156,133.7288818359375,133.7288818359375,10429952
2025-12-11 01:15:00+00:00,133.73724365234375,133.73724365234375,132.8890380859375,133.53248596191406,7693824
2025-12-11 01:30:00+00:00,133.5264129638672,133.72622680664062,133.4482421875,133.4482421875,15015424
2025-12-11 01:45:00+00:00,133.44528198242188,133.44528198242188,133.02040100097656,133.02040100097656,4196864
2025-12-11 02:00:00+00:00,133.0111083984375,133.0111083984375,132.18130493164062,132.18130493164062,39930880
2025-12-11 02:15:00+00:00,132.1770477294922,132.1770477294922,131.55014038085938,131.55014038085938,69758976
2025-12-11 02:30:00+00:00,131.5167236328125,131.73443603515625,131.2197723388672,131.72909545898438,65176576
2025-12-11 02:45:00+00:00,131.5039825439453,131.5039825439453,130.75364685058594,130.75364685058594,133201920
2025-12-11 03:00:00+00:00,130.7708740234375,130.7708740234375,129.86904907226562,129.95367431640625,126095872
2025-12-11 03:15:00+00:00,129.94998168945312,130.38088989257812,129.94998168945312,130.19044494628906,47563264
2025-12-11 03:30:00+00:00,130.16419982910156,130.16419982910156,129.53619384765625,129.53619384765625,27467776
2025-12-11 03:45:00+00:00,129.52479553222656,129.6981201171875,129.52479553222656,129.5928192138672,33884672
2025-12-11 04:00:00+00:00,129.58633422851562,130.16856384277344,129.38941955566406,130.1269073486328,43847680
2025-12-11 04:15:00+00:00,130.13604736328125,130.13604736328125,129.78958129882812,129.78958129882812,1969152
2025-12-11 04:30:00+00:00,129.77957153320312,129.99859619140625,129.77957153320312,129.99859619140625,1973760
2025-12-11 04:45:00+00:00,129.99510192871094,131.35609436035156,129.99510192871094,131.35609436035156,29612544
2025-12-11 05:00:00+00:00,131.08912658691406,131.08912658691406,130.80026245117188,130.84266662597656,8546816
2025-12-11 05:15:00+00:00,130.82456970214844,131.21737670898438,130.7587127685547,131.21737670898438,14291968
2025-12-11 05:30:00+00:00,131.218994140625,131.22344970703125,130.9019775390625,130.9019775390625,8357376
2025-12-11 05:45:00+00:00,130.90760803222656,131.22601318359375,130.90760803222656,131.22601318359375,14069248
2025-12-11 06:00:00+00:00,131.22218322753906,131.22218322753906,131.06578063964844,131.07376098632812,5019648
2025-12-11 06:15:00+00:00,131.07313537597656,131.09300231933594,130.66177368164062,130.68934631347656,15413760
2025-12-11 06:30:00+00:00,130.7016143798828,131.2090606689453,130.7016143798828,131.14126586914062,30083584
2025-12-11 06:45:00+00:00,131.1352996826172,131.1352996826172,131.0320587158203,131.0347442626953,9353216
2025-12-11 07:00:00+00:00,131.06304931640625,131.15744018554688,131.05455017089844,131.15744018554688,6233088
2025-12-11 07:15:00+00:00,131.17091369628906,131.22447204589844,131.11061096191406,131.11061096191406,5744640
2025-12-11 07:30:00+00:00,131.11886596679688,131.19960021972656,131.02438354492188,131.02505493164062,8079360
2025-12-11 07:45:00+00:00,131.00216674804688,131.03265380859375,130.84503173828125,131.01832580566406,7102464
2025-12-11 08:00:00+00:00,131.01844787597656,131.06236267089844,130.71568298339844,130.7342071533203,13578240
